,time,text,compound,neg,neu,pos
120,6/17/2018 15:01,"Corner, México. Conceded by Jérôme Boateng.",0.0,0.0,1.0,0.0
121,6/17/2018 15:02,Attempt missed. Chicharito (México) header from the centre of the box misses to the right. Assisted by Miguel Layún with a cross following a corner.,-0.4767,0.163,0.837,0.0
122,6/17/2018 15:02,Foul by Carlos Vela (México).,0.0,0.0,1.0,0.0
123,6/17/2018 15:02,Joshua Kimmich (Germany) wins a free kick in the defensive half.,0.7964,0.0,0.464,0.536
124,6/17/2018 15:03,Attempt missed. Timo Werner (Germany) right footed shot from the right side of the box misses to the left. Assisted by Joshua Kimmich with a through ball.,-0.4767,0.146,0.854,0.0
125,6/17/2018 15:07,"Corner, Germany. Conceded by Hugo Ayala.",0.0,0.0,1.0,0.0
126,6/17/2018 15:07,Attempt saved. Mats Hummels (Germany) left footed shot from outside the box is saved in the bottom left corner. Assisted by Thomas Müller.,0.6808,0.0,0.789,0.211
127,6/17/2018 15:08,Carlos Vela (México) wins a free kick in the attacking half.,0.6124,0.176,0.412,0.412
128,6/17/2018 15:08,Foul by Mats Hummels (Germany).,0.0,0.0,1.0,0.0
129,6/17/2018 15:09,Attempt missed. Miguel Layún (México) right footed shot from outside the box is too high from a direct free kick.,0.2732,0.098,0.756,0.147
130,6/17/2018 15:10,Attempt saved. Héctor Herrera (México) right footed shot from outside the box is saved in the bottom left corner. Assisted by Hirving Lozano.,0.6808,0.0,0.789,0.211
131,6/17/2018 15:13,Hand ball by Toni Kroos (Germany).,0.4939,0.0,0.61,0.39
132,6/17/2018 15:14,Attempt saved. Héctor Moreno (México) header from the centre of the box is saved in the bottom left corner. Assisted by Miguel Layún with a cross.,0.6808,0.0,0.804,0.196
133,6/17/2018 15:16,"Corner, Germany. Conceded by Carlos Salcedo.",0.0,0.0,1.0,0.0
134,6/17/2018 15:16,Attempt saved. Julian Draxler (Germany) right footed shot from outside the box is saved in the top right corner.,0.7506,0.0,0.684,0.316
135,6/17/2018 15:16,Attempt blocked. Toni Kroos (Germany) right footed shot from outside the box is blocked. Assisted by Mesut Özil.,-0.4939,0.208,0.792,0.0
136,6/17/2018 15:18,Foul by Héctor Herrera (México).,0.0,0.0,1.0,0.0
137,6/17/2018 15:18,Jérôme Boateng (Germany) wins a free kick in the defensive half.,0.7964,0.0,0.464,0.536
138,6/17/2018 15:19,Hand ball by Carlos Salcedo (México).,0.4939,0.0,0.61,0.39
139,6/17/2018 15:20,Attempt saved. Timo Werner (Germany) left footed shot from the centre of the box is saved in the centre of the goal.,0.6808,0.0,0.781,0.219
140,6/17/2018 15:20,Carlos Vela (México) wins a free kick in the defensive half.,0.7964,0.0,0.464,0.536
141,6/17/2018 15:20,Foul by Mats Hummels (Germany).,0.0,0.0,1.0,0.0
142,6/17/2018 15:22,Attempt saved. Toni Kroos (Germany) left footed shot from outside the box is saved in the centre of the goal. Assisted by Julian Draxler.,0.6808,0.0,0.797,0.203
143,6/17/2018 15:23,Attempt blocked. Chicharito (México) left footed shot from outside the box is blocked. Assisted by Hirving Lozano.,-0.4939,0.219,0.781,0.0
144,6/17/2018 15:23,Foul by Joshua Kimmich (Germany).,0.0,0.0,1.0,0.0
145,6/17/2018 15:23,Héctor Herrera (México) wins a free kick in the attacking half.,0.6124,0.176,0.412,0.412
146,6/17/2018 15:24,Foul by Héctor Moreno (México).,0.0,0.0,1.0,0.0
147,6/17/2018 15:24,Sami Khedira (Germany) wins a free kick in the defensive half.,0.7964,0.0,0.464,0.536
148,6/17/2018 15:25,Foul by Héctor Moreno (México).,0.0,0.0,1.0,0.0
149,6/17/2018 15:25,Timo Werner (Germany) wins a free kick on the right wing.,0.7906,0.0,0.533,0.467
150,6/17/2018 15:26,Attempt missed. Miguel Layún (México) right footed shot from outside the box is high and wide to the right. Assisted by Hirving Lozano.,-0.296,0.091,0.909,0.0
151,6/17/2018 15:29,Foul by Julian Draxler (Germany).,0.0,0.0,1.0,0.0
152,6/17/2018 15:29,Héctor Herrera (México) wins a free kick in the defensive half.,0.7964,0.0,0.464,0.536
153,6/17/2018 15:29,Attempt saved. Miguel Layún (México) right footed shot from outside the box is saved in the centre of the goal. Assisted by Carlos Vela.,0.6808,0.0,0.797,0.203
154,6/17/2018 15:30,Foul by Chicharito (México).,0.0,0.0,1.0,0.0
155,6/17/2018 15:30,Jérôme Boateng (Germany) wins a free kick in the attacking half.,0.6124,0.176,0.412,0.412
156,6/17/2018 15:35,"Goal! Germany 0, México 1. Hirving Lozano (México) right footed shot from the centre of the box to the bottom left corner. Assisted by Chicharito following a fast break.",0.0,0.0,1.0,0.0
157,6/17/2018 15:37,Foul by Miguel Layún (México).,0.0,0.0,1.0,0.0
158,6/17/2018 15:37,Marvin Plattenhardt (Germany) wins a free kick on the left wing.,0.7906,0.0,0.533,0.467
159,6/17/2018 15:37,Attempt blocked. Sami Khedira (Germany) right footed shot from the centre of the box is blocked. Assisted by Mesut Özil.,-0.4939,0.189,0.811,0.0
160,6/17/2018 15:37,Foul by Hirving Lozano (México).,0.0,0.0,1.0,0.0
161,6/17/2018 15:37,Joshua Kimmich (Germany) wins a free kick in the attacking half.,0.6124,0.176,0.412,0.412
162,6/17/2018 15:39,Attempt saved. Toni Kroos (Germany) right footed shot from outside the box is saved in the top right corner.,0.7506,0.0,0.684,0.316
163,6/17/2018 15:39,Foul by Jérôme Boateng (Germany).,0.0,0.0,1.0,0.0
164,6/17/2018 15:39,Hirving Lozano (México) wins a free kick in the defensive half.,0.7964,0.0,0.464,0.536
165,6/17/2018 15:40,Héctor Moreno (México) is shown the yellow card.,0.0,0.0,1.0,0.0
166,6/17/2018 15:45,"Attempt missed. Carlos Vela (México) left footed shot from outside the box is close, but misses to the left. Assisted by Andrés Guardado.",-0.4497,0.158,0.842,0.0
167,6/17/2018 15:45,"First Half ends, Germany 0, México 1.",0.0,0.0,1.0,0.0
168,6/17/2018 16:01,"Second Half begins Germany 0, México 1.",0.0,0.0,1.0,0.0
169,6/17/2018 16:04,Attempt saved. Marvin Plattenhardt (Germany) left footed shot from outside the box is saved in the bottom left corner. Assisted by Toni Kroos with a headed pass.,0.6808,0.0,0.811,0.189
170,6/17/2018 16:04,Hand ball by Jesús Gallardo (México).,0.4939,0.0,0.61,0.39
171,6/17/2018 16:07,Chicharito (México) wins a free kick in the defensive half.,0.7964,0.0,0.426,0.574
172,6/17/2018 16:07,Foul by Jérôme Boateng (Germany).,0.0,0.0,1.0,0.0
173,6/17/2018 16:09,Attempt missed. Joshua Kimmich (Germany) left footed shot from outside the box is too high. Assisted by Sami Khedira.,-0.296,0.109,0.891,0.0
174,6/17/2018 16:11,Attempt blocked. Julian Draxler (Germany) right footed shot from the left side of the box is blocked. Assisted by Mesut Özil.,-0.4939,0.181,0.819,0.0
175,6/17/2018 16:11,"Corner, Germany. Conceded by Carlos Salcedo.",0.0,0.0,1.0,0.0
176,6/17/2018 16:11,Attempt blocked. Toni Kroos (Germany) right footed shot from outside the box is blocked. Assisted by Julian Draxler.,-0.4939,0.208,0.792,0.0
177,6/17/2018 16:12,Foul by Hirving Lozano (México).,0.0,0.0,1.0,0.0
178,6/17/2018 16:12,Joshua Kimmich (Germany) wins a free kick on the right wing.,0.7906,0.0,0.533,0.467
179,6/17/2018 16:13,Attempt missed. Andrés Guardado (México) left footed shot from the left side of the box is too high. Assisted by Carlos Vela.,-0.296,0.095,0.905,0.0
180,6/17/2018 16:14,"Offside, Germany. Mesut Özil tries a through ball, but Thomas Müller is caught offside.",0.0,0.0,1.0,0.0
181,6/17/2018 16:14,"Substitution, México. Edson Álvarez replaces Carlos Vela.",0.0,0.0,1.0,0.0
182,6/17/2018 16:16,"Substitution, Germany. Marco Reus replaces Sami Khedira.",0.0,0.0,1.0,0.0
183,6/17/2018 16:17,Attempt blocked. Julian Draxler (Germany) right footed shot from outside the box is blocked. Assisted by Thomas Müller.,-0.4939,0.208,0.792,0.0
184,6/17/2018 16:18,Foul by Héctor Herrera (México).,0.0,0.0,1.0,0.0
185,6/17/2018 16:18,Mesut Özil (Germany) wins a free kick in the defensive half.,0.7964,0.0,0.464,0.536
186,6/17/2018 16:21,Attempt missed. Joshua Kimmich (Germany) right footed shot from the centre of the box is just a bit too high. Assisted by Jérôme Boateng with a cross.,-0.296,0.084,0.916,0.0
187,6/17/2018 16:22,"Substitution, México. Raúl Jiménez replaces Hirving Lozano.",0.0,0.0,1.0,0.0
188,6/17/2018 16:23,Attempt blocked. Julian Draxler (Germany) right footed shot from the centre of the box is blocked. Assisted by Thomas Müller with a cross.,-0.4939,0.174,0.826,0.0
189,6/17/2018 16:23,"Corner, Germany. Conceded by Edson Álvarez.",0.0,0.0,1.0,0.0
190,6/17/2018 16:24,Attempt missed. Timo Werner (Germany) right footed shot from the centre of the box is too high following a corner.,-0.296,0.109,0.891,0.0
191,6/17/2018 16:24,"Corner, Germany. Conceded by Guillermo Ochoa.",0.0,0.0,1.0,0.0
192,6/17/2018 16:26,Chicharito (México).,0.0,0.0,1.0,0.0
193,6/17/2018 16:26,Mats Hummels (Germany) wins a free kick in the defensive half.,0.7964,0.0,0.464,0.536
194,6/17/2018 16:27,"Attempt missed. Marco Reus (Germany) right footed shot from a difficult angle on the right is close, but misses the top right corner.",-0.3612,0.22,0.695,0.085
195,6/17/2018 16:28,Delay in match Jesús Gallardo (México) because of an injury.,-0.6249,0.389,0.611,0.0
196,6/17/2018 16:29,Delay over. They are ready to continue.,0.0516,0.235,0.51,0.255
197,6/17/2018 16:30,"Substitution, México. Rafael Márquez replaces Andrés Guardado.",0.0,0.0,1.0,0.0
198,6/17/2018 16:30,Foul by Edson Álvarez (México).,0.0,0.0,1.0,0.0
199,6/17/2018 16:30,Julian Draxler (Germany) wins a free kick in the defensive half.,0.7964,0.0,0.464,0.536
200,6/17/2018 16:32,"Attempt missed. Toni Kroos (Germany) right footed shot from outside the box is close, but misses to the right. Assisted by Joshua Kimmich.",-0.4497,0.158,0.842,0.0
201,6/17/2018 16:33,Attempt blocked. Julian Draxler (Germany) left footed shot from the centre of the box is blocked. Assisted by Thomas Müller.,-0.4939,0.189,0.811,0.0
202,6/17/2018 16:33,"Corner, Germany. Conceded by Edson Álvarez.",0.0,0.0,1.0,0.0
203,6/17/2018 16:33,"Corner, Germany. Conceded by Héctor Herrera.",0.0,0.0,1.0,0.0
204,6/17/2018 16:34,Attempt missed. Miguel Layún (México) right footed shot from outside the box is high and wide to the right. Assisted by Rafael Márquez following a fast break.,-0.296,0.081,0.919,0.0
205,6/17/2018 16:35,Attempt blocked. Mesut Özil (Germany) left footed shot from outside the box is blocked. Assisted by Thomas Müller with a headed pass.,-0.4939,0.181,0.819,0.0
206,6/17/2018 16:35,"Substitution, Germany. Mario Gomez replaces Marvin Plattenhardt.",0.0,0.0,1.0,0.0
207,6/17/2018 16:38,"Attempt missed. Miguel Layún (México) right footed shot from outside the box is close, but misses to the left. Assisted by Jesús Gallardo following a fast break.",-0.4497,0.141,0.859,0.0
208,6/17/2018 16:39,Foul by Thomas Müller (Germany).,0.0,0.0,1.0,0.0
209,6/17/2018 16:39,Héctor Herrera (México) wins a free kick in the defensive half.,0.7964,0.0,0.464,0.536
210,6/17/2018 16:39,Thomas Müller (Germany) is shown the yellow card for a bad foul.,-0.5423,0.259,0.741,0.0
211,6/17/2018 16:40,Attempt saved. Toni Kroos (Germany) left footed shot from outside the box is saved in the bottom left corner. Assisted by Julian Draxler.,0.6808,0.0,0.789,0.211
212,6/17/2018 16:40,Edson Álvarez (México) wins a free kick in the defensive half.,0.7964,0.0,0.464,0.536
213,6/17/2018 16:40,Foul by Mats Hummels (Germany).,0.0,0.0,1.0,0.0
214,6/17/2018 16:40,Mats Hummels (Germany) is shown the yellow card for a bad foul.,-0.5423,0.259,0.741,0.0
215,6/17/2018 16:41,Foul by Héctor Herrera (México).,0.0,0.0,1.0,0.0
216,6/17/2018 16:41,Toni Kroos (Germany) wins a free kick in the defensive half.,0.7964,0.0,0.464,0.536
217,6/17/2018 16:42,Attempt blocked. Mario Gomez (Germany) header from the centre of the box is blocked. Assisted by Mesut Özil with a cross.,-0.4939,0.189,0.811,0.0
218,6/17/2018 16:42,"Substitution, Germany. Julian Brandt replaces Timo Werner.",0.0,0.0,1.0,0.0
219,6/17/2018 16:42,Chicharito (México) wins a free kick in the defensive half.,0.7964,0.0,0.426,0.574
220,6/17/2018 16:42,Foul by Jérôme Boateng (Germany).,0.0,0.0,1.0,0.0
221,6/17/2018 16:43,Attempt missed. Mario Gomez (Germany) header from the centre of the box is high and wide to the right. Assisted by Joshua Kimmich with a cross.,-0.296,0.084,0.916,0.0
222,6/17/2018 16:45,Attempt saved. Mario Gomez (Germany) right footed shot from the left side of the six yard box is saved in the bottom left corner.,0.6808,0.0,0.797,0.203
223,6/17/2018 16:45,Julian Brandt (Germany) hits the left post with a right footed shot from outside the box. Assisted by Joshua Kimmich.,0.0,0.0,1.0,0.0
224,6/17/2018 16:46,Foul by Héctor Herrera (México).,0.0,0.0,1.0,0.0
